編號,分類,等級,分類1,分類2,分類3,分類4,語句,翻譯,音檔路徑,語別,方言別,備註
10001,C,B,1,,,,Maratar,早安,,阿美語,1,
10002,C,B,1,,,,Niyaru’,部落,10002.mp3,阿美語,1,
10003,C,B,1,Panay :,,,Vaw! U ratar a talacuwa kisu?,早安，你要去哪裡？,10003.mp3,阿美語,1,
10004,C,B,1,Vutul :,,,A milisu’ kaku tu matu’asay.,我要去探望長輩。,10004.mp3,阿美語,1,
10005,C,B,1,Panay :,,,Kapah tu haw ca vaki?,他們都好嗎？,10005.mp3,阿美語,1,
10006,C,B,1,Vutul :,,,"Hay, kapah tu.",是的，都很好。,10006.mp3,阿美語,1,
10007,C,B,1,Panay :,,,A pakapina a remiad i luma’?,你要回去幾天？,10007.mp3,阿美語,1,
10008,C,B,1,Vutul :,,,A pananukas tu anucila.,明天就回來了。,10008.mp3,阿美語,1,
10009,C,B,1,Panay :,,,Mimaan tu saw kisu i mahini?,好久不見。,10009.mp3,阿美語,1,
10010,C,B,1,Vutul :,,,"Haelis, kaurunan tu.",是啊，我們真的好久不見了。,10010.mp3,阿美語,1,
10011,C,B,1,Panay :,,,Mimaan tu i mahini?,最近在忙些什麼？,10011.mp3,阿美語,1,
10012,C,B,1,Vutul :,,,A mimaan saw misarakarakat tu i?,還好啦，不太忙。,10012.mp3,阿美語,1,
10013,C,B,1,Panay :,,,Anu saan katayni hen i luma’?,既然這樣，來家裡走走吧？,10013.mp3,阿美語,1,
10014,C,B,1,Vutul :,,,"Hay i, haenaw i.",好的，就這麼決定了。,10014.mp3,阿美語,1,
10015,C,B,2,,,,Cima ku ngangan nu misu?,你叫什麼名字？,,阿美語,1,
10016,C,B,2,,,,Niyaru’,部落,10016.mp3,阿美語,1,
10017,C,B,2,Lisin :,,,"Ci Lisin ku ngangan nu maku, cima kisu?",你好，我叫Lisin，請問你叫什麼名字？,10017.mp3,阿美語,1,
10018,C,B,2,Ciyaw :,,,Ci Ciyaw kaku.,我的名字叫Ciyaw。,10018.mp3,阿美語,1,
10019,C,B,2,Lisin :,,,U cavay aku ci Kawasaki.,他是我的朋友叫Kawasaki。,10019.mp3,阿美語,1,
10020,C,B,2,Ciyaw :,,,"U Ripun cira, u maminanam tu suwal nu pangcah haw?",他是日本人，來臺灣學原住民族語言嗎？,10020.mp3,阿美語,1,
10021,C,B,2,Lisin :,,,"Hay i, ma’ulah cira tu serangawan nu pangcah.",是的，他很喜歡原住民文化。,10021.mp3,阿美語,1,
10022,C,B,2,Ciyaw :,,,"Lipahak a masasu’araw aci Kawasaki, i cuwa ku aru’ isu, Lisin?",很高興認識Kawasaki，Lisin妳住在哪裡？,10022.mp3,阿美語,1,
10023,C,B,2,Lisin :,,,I Taypak ku aru’ nu maku.,我住在臺北。,10023.mp3,阿美語,1,
10024,C,B,2,Ciyaw :,,,I cuwa a dademak kisu?,請問你在哪裡工作？,10024.mp3,阿美語,1,
10025,C,B,2,Lisin :,,,I Taypak kaku a malapasuvana’ay.,我在臺北當老師。,10025.mp3,阿美語,1,
10026,C,B,2,Ciyaw :,,,U maan ku pasuvana’an nu misu?,你是教什麼的？,10026.mp3,阿美語,1,
10027,C,B,2,Lisin :,,,Pasuvana’ kaku tu nu misa’amisay a suwal nu pangcah.,我是教北部阿美族語。,10027.mp3,阿美語,1,
10028,C,B,2,Ciyaw :,,,Haw! kakapah nu misu.,你真優秀。,10028.mp3,阿美語,1,
10029,C,B,3,,,,Masulep,肚子餓,,阿美語,1,
10030,C,B,3,,,,lalan,路上,10030.mp3,阿美語,1,
10031,C,B,3,Emuy :,,,Mangeru’ kaku pasasata hen.,我很累，想休息一下。,10031.mp3,阿美語,1,
10032,C,B,3,Tipus :,,,"Ira ku elun, kamaru’ hen.",那裡有椅子，坐一下吧。,10032.mp3,阿美語,1,
10033,C,B,3,Emuy :,,,Caay tu pakarakat kaku.,我已經走不動了。,10033.mp3,阿美語,1,
10034,C,B,3,Tipus :,,,Sakilemelen! a tangasatu.,就快到了，加油吧！,10034.mp3,阿美語,1,
10035,C,B,3,Emuy :,,,"Vaw, ina cidal, sasedaseday sa ku tuhem nu maku.",太陽好大，我流了好多汗。,10035.mp3,阿美語,1,
10036,C,B,3,Tipus :,,,"Iya u sasuvin, sipisipu i!",這裡有毛巾，拿去擦吧！,10036.mp3,阿美語,1,
10037,C,B,3,Emuy :,,,"Masu’aw, ira haw ku nanum?",口好渴，有水喝嗎？,10037.mp3,阿美語,1,
10038,C,B,3,Tipus :,,,"Hay, ini tu pinanumi.",有，請喝。,10038.mp3,阿美語,1,
10039,C,B,3,,,,Luma’,家裡,10039.mp3,阿美語,1,
10040,C,B,3,Emuy :,,,"Masulep kaku, ira haw ku kakaenen?",我好餓，有東西可以吃嗎？,10040.mp3,阿美語,1,
10041,C,B,3,Tipus :,,,Ira i pingsiyang ku mamedacen.,冰箱裡有一些點心，自己來。,10041.mp3,阿美語,1,
10042,C,B,3,Emuy :,,,"Caay pivecul, u hemay ku taenekay.",點心吃不飽，還是吃飯好。,10042.mp3,阿美語,1,
10043,C,B,3,Tipus :,,,"Hay i, misakalahuka kaku.",好，我來做午餐。,10043.mp3,阿美語,1,
10044,C,B,4,,,,Mamaan ku remiad anini?,今天天氣怎麼樣？,,阿美語,1,
10045,C,B,4,,,,Luma’,家裡,10045.mp3,阿美語,1,
10046,C,B,4,Mayaw :,,,Mamaan ku remiad anini?,今天天氣怎麼樣？,10046.mp3,阿美語,1,
10047,C,B,4,Kulas :,,,Cidalan.,很好，是晴天。,10047.mp3,阿美語,1,
10048,C,B,4,Mayaw :,,,A valiyusan sa ku nikatengilan tu tilivi.,聽電視轉播說有颱風哦。,10048.mp3,阿美語,1,
10049,C,B,4,Kulas :,,,"Anu valiyusan, tahekal amin ku ’urang atu tuda.",如果有颱風來，有很多的蝦子和鰻魚出來。,10049.mp3,阿美語,1,
10050,C,B,4,Mayaw :,,,Hay haw!,是喔！,10050.mp3,阿美語,1,
10051,C,B,4,Kulas :,,,"Anu valiyusan i, tayra amin i tarawadaw a mitavukud ku Pangcah.",如果颱風來時，阿美族人都會到河床捕魚。,10051.mp3,阿美語,1,
10052,C,B,4,Mayaw :,,,A maanen namu a mivuting saw?,你們要如何捕魚呢？,10052.mp3,阿美語,1,
10053,C,B,4,Kulas :,,,"U tavukud, u vuvu’ atu salil, maalatu ku vuting.",用八掛網和魚簍及一線網就可捕魚了。,10053.mp3,阿美語,1,
10054,C,B,4,Mayaw :,,,U maamaan ku nivutingan?,可網到什麼樣的魚呢？,10054.mp3,阿美語,1,
10055,C,B,4,Kulas :,,,"Ira ku ’urang, u tuda, u vukung, u cuwang ...adihay.",有蝦子、鰻魚、鯽魚、鯉魚...很多。,10055.mp3,阿美語,1,
10056,C,B,5,,,,Saka pina na milipay anini?,今天星期幾？,,阿美語,1,
10057,C,B,5,,,,Lakelal,野外,10057.mp3,阿美語,1,
10058,C,B,5,Dawa :,,,Pinaay a mihecaan kisu a suvucan?,你是哪一年出生的？,10058.mp3,阿美語,1,
10059,C,B,5,U’ul :,,,I tiya i 1984 a suvucan kaku.,我是1984年出生的。,10059.mp3,阿美語,1,
10060,C,B,5,Dawa :,,,I lalud a suvucan kisu haw?,你在夏天生的嗎？,10060.mp3,阿美語,1,
10061,C,B,5,U’ul :,,,"Caay, I kasienawan kaku a suvucen.",不是，在冬天生的。,10061.mp3,阿美語,1,
10062,C,B,5,Dawa :,,,Sakapina nu pilipayan anini?,今天是星期幾？,10062.mp3,阿美語,1,
10063,C,B,5,U’ul :,,,Sakaenem anini.,今天是星期六。,10063.mp3,阿美語,1,
10064,C,B,5,Dawa :,,,Mavuhat ku yuvin haw?,郵局有開嗎？,10064.mp3,阿美語,1,
10065,C,B,5,U’ul :,,,"Hay i, nika u davak a cacay.",有，但是只有早上開 。,10065.mp3,阿美語,1,
10066,C,B,5,Dawa :,,,Pinaay tu ku tuki anini?,現在幾點了？,10066.mp3,阿美語,1,
10067,C,B,5,U’ul :,,,Mangata tu kalahukan.,快中午了。,10067.mp3,阿美語,1,
